Name,NSE Code,Industry,Current Price,CMP to IV,Price to book value,Intrinsic Value,Market Capitalization,Price to Earning,Industry PE,Historical PE 3Years,DuPont Model,PEG Ratio
Carborundum Uni.,CARBORUNIV,Abrasives And Grinding Wheels,1700,6.11,10.35,278.26,32343.79,70.17,69.24,48.76,21.09,5.29
Grindwell Norton,GRINDWELL,Abrasives And Grinding Wheels,2337.6,5.7,12.62,410.02,25881.89,67.45,69.24,64.21,25.84,3.43
Blue Star,BLUESTARCO,Air-conditioners,1520.6,3.33,12.01,456.68,31265.82,75.47,75.91,58.63,23.18,4.44
Voltas,VOLTAS,Air-conditioners,1343.35,8.64,7.61,155.47,44449.33,179.16,75.91,72.07,10.28,-13.15
Hindalco Inds.,HINDALCO,Aluminium and Aluminium Products,671.75,0.94,1.51,718.43,150956.78,16.11,25.24,10.96,34.15,1.01
Natl. Aluminium,NATIONALUM,Aluminium and Aluminium Products,191,1.73,2.57,110.37,35079.66,22.33,25.24,8.92,34.48,1.35
Amara Raja Ener.,ARE&M,Auto Ancillaries,1125,1.33,3.37,846.37,20590.3,25.18,33.31,16.48,23.16,2.63
Bombay Burmah,BBTC,Auto Ancillaries,1542.75,1.05,2.35,1474.98,10764.06,15.1,33.31,18.62,38.14,5.35
Bosch,BOSCHLTD,Auto Ancillaries,30720,4.15,7.86,7398.09,90604.46,53.8,33.31,38.95,16.8,-1076
Craftsman Auto,CRAFTSMAN,Auto Ancillaries,4315.95,1.14,5.5,3794.75,9118.92,29.97,33.31,31.44,57.96,1.17
Endurance Tech.,ENDURANCE,Auto Ancillaries,2183,2.41,6.17,905.09,30706.66,45.09,33.31,41.29,24.21,7.23
Exide Inds.,EXIDEIND,Auto Ancillaries,464.15,2.29,3.08,202.61,39452.75,45,33.31,20.55,13.8,17.58
HBL Power System,HBLPOWER,Auto Ancillaries,534,10.04,13.92,53.19,14802.2,62.43,33.31,36.97,16.26,2.91
JBM Auto,JBMA,Auto Ancillaries,1906.05,7.12,19.35,267.72,22538.56,126.09,33.31,48.9,44.21,9.91
Minda Corp,MINDACORP,Auto Ancillaries,416.2,3.94,4.99,105.67,9950.52,43.74,33.31,30.84,25.35,5.76
Motherson Wiring,MSUMI,Auto Ancillaries,68.3,1.73,18.05,39.37,30196.21,47.29,33.31,53.05,55,
Samvardh. Mothe.,MOTHERSON,Auto Ancillaries,137.3,3.14,4.12,43.73,93040.35,57.91,33.31,50.2,25.85,-32.9
Sona BLW Precis.,SONACOMS,Auto Ancillaries,628.3,3.27,14.33,192.32,36846.56,75,33.31,79.14,28.88,2.01
Sundram Fasten.,SUNDRMFAST,Auto Ancillaries,1159.85,4.29,7.11,270.24,24371.74,46.69,33.31,43.36,25.07,17.75
Uno Minda,UNOMINDA,Auto Ancillaries,761.9,2.56,9.85,297.85,43736.02,56.48,33.31,55.53,28.72,3.12
Varroc Engineer,VARROC,Auto Ancillaries,570.1,2.53,5.77,225.4,8710.37,15.95,33.31,51.57,40.24,2.99
ZF Commercial,ZFCVINDIA,Auto Ancillaries,13309.55,4.67,9.73,2847.32,25234.9,62.3,33.31,84.46,14.17,14.87
Ashok Leyland,ASHOKLEY,Automobiles - LCVs / HCVs,212.8,2.93,7.06,72.63,62485.06,26.52,28.9,40.2,51.42,-3.66
Olectra Greentec,OLECTRA,Automobiles - LCVs / HCVs,1809.3,7.18,16.29,251.82,14850.89,193.21,28.9,145.81,16.26,4.15
Tata Motors,TATAMOTORS,Automobiles - LCVs / HCVs,961,1.49,3.73,644.4,352339.23,10.97,28.9,19.92,47.34,0.12
Tata Motors-DVR,TATAMTRDVR,Automobiles - LCVs / HCVs,647,,,,,,,,,
Eicher Motors,EICHERMOT,Automobiles - Motorcycles / Mopeds,4830,1.94,7.33,2484.76,132248.2,33.1,60.35,39.56,21.77,2.61
Hero Motocorp,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,5114.95,2.43,5.77,2101.8,102263.75,26.47,60.35,20.37,25.55,9.22
TVS Motor Co.,TVSMOTOR,Automobiles - Motorcycles / Mopeds,2173.9,4.08,15.26,532.24,103281.94,61.26,60.35,44.92,72.35,3.22
M & M,M&M,Automobiles - Passenger Cars,2596.7,2.21,4.81,1174.32,322907.21,28.71,29.65,20.65,35.1,1.71
Maruti Suzuki,MARUTI,Automobiles - Passenger Cars,12935,1.7,4.72,7588.02,406679.71,30.13,29.65,41.7,15.58,1.7
Bajaj Auto,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,8959.2,2.33,8.62,3848.82,250122.74,32.46,122.36,20.16,27.45,3.05
Escorts Kubota,ESCORTS,Automobiles - Tractors,3812.1,3.16,4.64,1208.07,42123,40.23,32.3,36.71,8.8,2.33
AU Small Finance,AUBANK,Banks - Private Sector,618.3,1.51,3.8,409.43,45923.13,28.82,12.22,31.64,57.66,0.87
Axis Bank,AXISBANK,Banks - Private Sector,1162.2,1.35,2.71,860.5,358822.47,13.57,12.22,14.55,53.5,0.35
Bandhan Bank,BANDHANBNK,Banks - Private Sector,186.95,0.96,1.52,194.9,30117,13.49,12.22,17.47,43.26,5
CSB Bank,CSBBANK,Banks - Private Sector,332.15,0.94,1.82,353.4,5762.3,10.13,12.22,10.15,56.75,0.27
City Union Bank,CUB,Banks - Private Sector,143.95,0.97,1.42,148.61,10661.97,10.5,12.22,13.56,45.34,1.26
Equitas Sma. Fin,EQUITASBNK,Banks - Private Sector,95.55,0.91,2.08,105.32,10846.34,13.54,12.22,16.94,46.94,0.44
Federal Bank,FEDERALBNK,Banks - Private Sector,162.5,0.79,1.57,204.88,39586.39,10.19,12.22,10.02,73.33,0.42
HDFC Bank,HDFCBANK,Banks - Private Sector,1487.6,1.44,2.81,1030.67,1130116.47,17.55,12.22,20.19,60.65,0.75
ICICI Bank,ICICIBANK,Banks - Private Sector,1133.15,1.57,3.63,720.16,796569.46,18,12.22,20.32,20.03,0.3
IDBI Bank,IDBI,Banks - Private Sector,87.16,2.02,2.01,43.07,93717.95,16.19,12.22,17.5,24.32,0.85
IDFC First Bank,IDFCFIRSTB,Banks - Private Sector,77.7,0.87,1.97,88.81,54943.7,18.62,12.22,20.81,49.84,0.65
IndusInd Bank,INDUSINDBK,Banks - Private Sector,1444,0.98,2.03,1477.98,112406.52,12.6,12.22,15.03,48.03,0.57
J & K Bank,J&KBANK,Banks - Private Sector,130.2,0.85,1.39,152.45,14337.4,8.08,12.22,5.02,72.96,0.26
Karur Vysya Bank,KARURVYSYA,Banks - Private Sector,198.5,1.52,1.89,130.7,15965.57,9.99,12.22,8.89,51.55,0.2
Kotak Mah. Bank,KOTAKBANK,Banks - Private Sector,1707.85,1.76,3.03,971.84,339507.03,18.63,12.22,27.37,10.27,0.91
RBL Bank,RBLBANK,Banks - Private Sector,253.8,0.92,1.13,276.6,15372.13,13.15,12.22,13.25,36.65,2.14
T N Merc. Bank,TMB,Banks - Private Sector,474.5,0.89,1.07,535.33,7513.81,7.05,12.22,7.33,45.92,0.21
Ujjivan Small,UJJIVANSFB,Banks - Private Sector,53.22,0.62,2.6,85.54,10426.5,8.14,12.22,8.59,82.6,0.18
Yes Bank,YESBANK,Banks - Private Sector,23.04,3.28,1.68,7.03,69230.09,53.83,12.22,54.83,38.04,-9.72
Bank of Baroda,BANKBARODA,Banks - Public Sector,269.8,0.51,1.33,533.63,139523.29,7.41,9.46,7.7,68.98,0.1
Bank of India,BANKINDIA,Banks - Public Sector,129.1,0.99,0.87,130.34,58775.01,9.03,9.46,8.68,53.41,0.35
Bank of Maha,MAHABANK,Banks - Public Sector,68.7,1.55,2.89,44.3,48649.06,12.03,9.46,10.23,74.6,0.52
Canara Bank,CANBK,Banks - Public Sector,117.5,0.54,1.36,216.86,106580.21,6.99,9.46,6.03,71.04,0.08
Central Bank,CENTRALBK,Banks - Public Sector,66,2.29,1.98,28.76,57294.22,21.45,9.46,14.69,55.94,1.08
I O B,IOB,Banks - Public Sector,68.13,5.56,5.07,12.26,128782.09,48.51,9.46,28.35,49.39,2.22
Indian Bank,INDIANB,Banks - Public Sector,577,0.75,1.45,764.46,77719.73,9.25,9.46,6.36,59.99,0.11
Punjab Natl.Bank,PNB,Banks - Public Sector,126.95,1,1.36,126.98,139784.77,15.26,9.46,15.81,53.07,0.63
St Bk of India,SBIN,Banks - Public Sector,832.4,1.53,2.06,544.16,742884.68,10.29,9.46,11.53,48.51,0.1
UCO Bank,UCOBANK,Banks - Public Sector,57.39,1.42,2.71,40.55,68615.18,19.97,9.46,19.52,50.85,
Union Bank (I),UNIONBANK,Banks - Public Sector,152.3,0.63,1.3,243.45,116259.82,8.45,9.46,6.43,72.53,0.18
SKF India,SKFINDIA,Bearings,6081.1,4.4,11.19,1381.18,30063.75,54.48,29.96,44.81,29.63,5.14
Schaeffler India,SCHAEFFLER,Bearings,4617.15,7.25,15,636.69,72167.75,78.36,29.96,50.77,28.32,5.12
Timken India,TIMKEN,Bearings,3856.8,6.23,12,618.59,29010.36,73.94,29.96,62.75,24.11,3.45
Radico Khaitan,RADICO,Breweries & Distilleries,1680.15,4.19,9.46,400.84,22466.19,87.8,31.06,58.58,19.85,13.83
United Breweries,UBL,Breweries & Distilleries,1878,8.78,11.86,213.84,49654.34,121.12,31.06,122.26,16.05,-19.73
United Spirits,MCDOWELL-N,Breweries & Distilleries,1171.4,5.05,12.52,231.89,85201.84,67.02,31.06,62.7,29.01,5.79
Finolex Cables,FINCABLES,Cables - Power,1144.15,2.08,4.38,549.63,17498.59,31.2,32.72,24.15,13.42,4.48
KEI Industries,KEI,Cables - Power,4226.1,3.13,12.15,1352.18,38136.97,65.6,32.72,32.53,26.29,2.51
Polycab India,POLYCAB,Cables - Power,6631.4,2.95,12.17,2247.67,99635.44,55.83,32.72,42.42,28.74,1.92
R R Kabel,RRKABEL,Cables - Power,1748,4.06,11.5,430.89,19720.75,105.87,32.72,77.93,38.81,11.9
Sterlite Tech.,STLTECH,Cables - Telephone,129.95,,,,,,,,,
AIA Engineering,AIAENG,Castings & Forgings,3691.8,2.83,5.21,1306.64,34821.19,30.66,30.59,30.89,18.56,1.63
Bharat Forge,BHARATFORG,Castings & Forgings,1492.3,4.53,9.67,329.07,69479.81,75.7,30.59,62.62,29.25,-36.93
CIE Automotive,CIEINDIA,Castings & Forgings,540,2.21,3.39,243.84,20485.6,25.29,30.59,22.76,20.64,2.54
Happy Forgings,HAPPYFORGE,Castings & Forgings,1100.55,,,,,,,,,
Ramkrishna Forg.,RKFORGE,Castings & Forgings,718.95,1.81,4.88,396.49,12996.91,38.02,30.59,25.88,32.13,1.64
ACC,ACC,Cement - North India,2586.05,1.87,3.03,1382.88,48562.71,22.68,30.8,29.28,10.65,3.19
Ambuja Cements,AMBUJACEM,Cement - North India,641.75,2.85,3.24,225.4,127428.79,36.97,30.8,33.69,10.58,4.16
Birla Corpn.,BIRLACORPN,Cement - North India,1441.95,1.62,1.68,887.46,11104.49,26.78,30.8,27.52,13.16,2.5
J K Cements,JKCEMENT,Cement - North India,3959,1.97,5.7,2007.19,30590.51,38.56,30.8,36.31,29.33,1.58
JK Lakshmi Cem.,JKLAKSHMI,Cement - North India,798.25,1.3,3.21,611.83,9393,22.38,30.8,17.94,40.11,0.31
Nuvoco Vistas,NUVOCO,Cement - North India,317.6,2.52,1.27,126.26,11343.34,76.99,30.8,31.7,13.69,1.13
Prism Johnson,PRSMJOHNSN,Cement - North India,143.75,5.1,5.23,28.18,7235.78,,,,,
Shree Cement,SHREECEM,Cement - North India,25541,2.4,4.43,10649.02,92153.87,38.46,30.8,43.82,16.51,2.43
UltraTech Cem.,ULTRACEMCO,Cement - North India,10096,2.53,4.85,3984.56,291468.81,41.38,30.8,34.69,19.88,1.71
Dalmia BharatLtd,DALBHARAT,Cement - South India,1811.6,2.59,2.07,700.67,33976.14,41.11,19.08,34.32,15.24,1.25
India Cements,INDIACEM,Cement - South India,209.4,,,,,,,,,
The Ramco Cement,RAMCOCEM,Cement - South India,787,2.27,2.53,346.03,18596.19,52.18,19.08,48.1,18.89,-7.56
Cera Sanitary.,CERA,Ceramics - Tiles / Sanitaryware,7150,3.54,6.92,2020.68,9299.2,38.7,46.61,42.96,22.34,2.43
Kajaria Ceramics,KAJARIACER,Ceramics - Tiles / Sanitaryware,1271.15,4.22,7.81,301.39,20244.1,47.96,46.61,48.93,23.57,3.8
Aarti Industries,AARTIIND,Chemicals,626.05,3.46,4.26,180.83,22694.54,54.53,36.55,34.51,19.81,-16.83
Aether Industri.,AETHER,Chemicals,828.9,7.39,5.3,112.13,10987.08,118.33,36.55,89.53,8.42,
Alkyl Amines,ALKYLAMINE,Chemicals,1973,2.18,7.96,903.06,10086.26,67.75,36.55,61.27,23.47,5.54
Anupam Rasayan,ANURAS,Chemicals,773.75,1.8,3.08,430.14,8494.68,66.05,36.55,59.2,14.33,3.12
Archean Chemical,ACI,Chemicals,614.4,0.93,4.49,660.44,7581.5,23.51,36.55,18.09,34.38,0.52
Atul,ATUL,Chemicals,5930.65,3.12,3.43,1897.91,17460.87,54.05,36.55,41.79,13.74,-9.69
Balaji Amines,BALAMINES,Chemicals,2221.95,2.18,4.14,1018.75,7199.34,35.11,36.55,28.74,24.72,2.97
Castrol India,CASTROLIND,Chemicals,194.25,1.59,9.1,122.16,19213.68,21.85,36.55,16.19,55.56,5.8
Chemplast Sanmar,CHEMPLASTS,Chemicals,485.05,,,,,,,,,
Clean Science,CLEAN,Chemicals,1409.6,1.95,12.49,721.39,14977.32,61.43,36.55,63.12,28.27,3.06
Deepak Fertiliz.,DEEPAKFERT,Chemicals,550.8,0.55,1.37,998.05,6953.15,14.44,36.55,10.47,39.45,0.29
Deepak Nitrite,DEEPAKNTR,Chemicals,2334.35,1.52,6.67,1532.06,31838.91,42.29,36.55,31.18,25.98,1.26
Fine Organic,FINEORG,Chemicals,4425.95,2.07,7.25,2136.06,13570,36.88,36.55,38.52,27.09,1.58
G N F C,GNFC,Chemicals,663.85,0.93,1.12,715.94,9754.65,14.06,36.55,6.42,31.46,1.06
Godrej Industrie,GODREJIND,Chemicals,843.15,14.49,3.52,58.19,28388.09,473.34,36.55,25.43,18.99,-13.8
Gujarat Fluoroch,FLUOROCHEM,Chemicals,3166,5.4,5.85,586.39,34778.55,79.97,36.55,37.41,25.07,-4.21
Himadri Special,HSCL,Chemicals,355.9,4.81,5.79,73.93,17535.88,42.68,36.55,33.89,13.11,8.82
Jubilant Ingrev.,JUBLINGREA,Chemicals,515.9,2.93,2.93,175.96,8217.35,44.94,36.55,24.11,17.34,
Laxmi Organic,LXCHEM,Chemicals,257,3.84,3.92,66.99,7087.56,58.86,36.55,53.43,14.12,5.43
Linde India,LINDEINDIA,Chemicals,9186.8,15.51,24.43,592.24,78345.02,186.21,36.55,85.44,26.25,2.17
Navin Fluo.Intl.,NAVINFLUOR,Chemicals,3322.75,3.3,6.93,1007.21,16473.87,72.11,36.55,70.79,22.87,7.83
PCBL Ltd,PCBL,Chemicals,262.05,0.79,3.16,331.45,9891.45,20.5,36.55,11.09,30.05,1.51
Pidilite Inds.,PIDILITIND,Chemicals,2985.1,7.52,18.03,396.77,151824.94,85.22,36.55,94.58,24.81,6.23
SRF,SRF,Chemicals,2300,2.32,5.94,993.16,68177.81,51.08,36.55,36.82,27.19,3.23
Solar Industries,SOLARINDS,Chemicals,10008.6,7.05,27.41,1418.68,90567.85,108.33,107.67,58.86,34.18,4.18
Tata Chemicals,TATACHEM,Chemicals,1087.2,3.09,1.24,352.19,27697.54,48.42,36.55,16.74,15.75,-4.64
Godfrey Phillips,GODFRYPHLP,Cigarettes,3932.8,2.34,5.42,1680.21,20448.15,25.12,25.95,14.03,23.82,0.66
ITC,ITC,Cigarettes,443.2,1.74,7.99,254.14,553322.95,26.98,25.95,24.6,34.91,2.31
Elgi Equipments,ELGIEQUIP,Compressors / Drilling Equipment,645.3,3.81,13.97,169.17,20450.15,50.48,56.53,54.95,26.21,2.09
HCL Technologies,HCLTECH,Computers - Software - Large,1353.35,1.34,5.4,1007.18,367253.91,23.4,29.86,22.41,35.85,2.47
Infosys,INFY,Computers - Software - Large,1471.2,1.48,6.9,995.81,610675.61,23.44,29.86,28,41.81,2.09
L&T Technology,LTTS,Computers - Software - Large,4614.4,1.8,9.66,2558.16,48801.25,38.79,29.86,41.13,38.47,3.12
LTIMindtree,LTIM,Computers - Software - Large,4825,1.43,7.12,3378.25,142898.79,31.26,29.86,34.13,32.76,1.26
Mphasis,MPHASIS,Computers - Software - Large,2392.9,1.46,5.08,1642.51,45229.72,29.04,29.86,28.88,26.78,3.75
Persistent Sys,PERSISTENT,Computers - Software - Large,3560.45,2.58,11.05,1382.09,54848.74,50.24,29.86,45.95,35.91,1.83
TCS,TCS,Computers - Software - Large,3872,2.54,15.42,1525.58,1400923.38,30.06,29.86,31.04,69.78,3.66
Tech Mahindra,TECHM,Computers - Software - Large,1339.35,3.37,4.92,397.48,130844.5,55.52,29.86,25.41,28.47,-4.94
Wipro,WIPRO,Computers - Software - Large,465.5,1.92,3.28,242.73,243366.83,22.07,29.86,20.58,22.22,5.29
Affle India,AFFLE,Computers - Software - Medium / Small,1188.7,1.19,10.47,1002.35,16666.67,61.22,35.23,63.83,19.32,1.12
BLS Internat.,BLS,Computers - Software - Medium / Small,328,3.23,11.25,101.49,13505.05,43.15,35.23,39.83,20.41,1.3
Birlasoft Ltd,BSOFT,Computers - Software - Medium / Small,615.5,1.5,5.53,410.15,16992.74,27.24,35.23,29.3,18.84,1.47
C.E. Info System,MAPMYINDIA,Computers - Software - Medium / Small,1977.85,3.38,16.23,585.54,10694.65,79.84,35.23,67.47,24.12,1.72
Coforge,COFORGE,Computers - Software - Medium / Small,5053.45,2.07,8.65,2442.49,31240.84,39.09,35.23,42.62,40.44,2.72
Cyient,CYIENT,Computers - Software - Medium / Small,1770.95,1.96,4.6,901.49,19640.02,26.86,35.23,25.56,28.1,3.05
Firstsour.Solu.,FSL,Computers - Software - Medium / Small,196.3,2.24,3.77,87.48,13837.51,26.88,35.23,19.23,24.37,4.1
Happiest Minds,HAPPSTMNDS,Computers - Software - Medium / Small,815.15,1.96,8.41,416.85,12412.67,52.11,35.23,65.21,27.63,0.95
Intellect Design,INTELLECT,Computers - Software - Medium / Small,897.3,2.19,5.05,409.91,12277.25,38.25,35.23,29.79,20.29,1.95
KPIT Technologi.,KPITTECH,Computers - Software - Medium / Small,1501.75,2.72,19.27,552.67,41169.66,69.52,35.23,63.74,42.79,1.41
