Name,NSE Code,Industry,Current Price,CMP to IV,Price to book value,Intrinsic Value,Market Capitalization,Price to Earning,Industry PE,Historical PE 3Years,DuPont Model,PEG Ratio
Nuvama Wealth,NUVAMA,Finance & Investments,4880,1.44,5.97,3382.37,17237.19,27.57,18.96,27.66,43.17,
Piramal Enterp.,PEL,Finance & Investments,818.35,,,,,,,,,
Poonawalla Fin,POONAWALLA,Finance & Investments,458.5,3.39,4.38,135.37,35513.65,33.43,19.78,47.14,23.19,1.17
SBFC Finance,SBFC,Finance & Investments,82.55,1.31,3.18,62.8,8863.86,37.38,19.78,44.82,24.52,0.65
SBI Cards,SBICARD,Finance & Investments,709.5,1.66,5.6,426.4,67471.43,28.03,19.78,37.79,43.77,1.23
SBI Life Insuran,SBILIFE,Finance & Investments,1449.25,6.64,9.74,218.25,145137.39,76.62,42.34,76.49,2.39,8.87
Shriram Finance,SHRIRAMFIN,Finance & Investments,2386.6,1.02,1.83,2339.73,89686.74,12.13,19.78,11.67,53.62,0.52
Star Health Insu,STARHEALTH,Finance & Investments,547.9,2.75,4.72,199.13,32067.71,37.99,42.34,49.66,14.98,0.83
Sundaram Finance,SUNDARMFIN,Finance & Investments,4519.35,3.51,4.74,1289.35,50210.04,31.33,19.78,22.05,42.1,2.51
Tata Inv.Corpn.,TATAINVEST,Finance & Investments,6590,2.72,1.42,2424.5,33342.29,97.08,19.78,41.34,0.96,6.96
UTI AMC,UTIAMC,Finance & Investments,922.2,0.97,2.69,955.58,11735.69,15.36,19.78,19.73,19.3,0.9
AAVAS Financiers,AAVAS,Finance - Housing,1611.25,1.43,3.41,1125.6,12751.37,25.99,19.17,38.64,37.45,1.14
Aptus Value Hou.,APTUS,Finance - Housing,308.65,1.18,4.07,261.23,15400.87,25.2,19.17,27.1,30.15,0.62
Can Fin Homes,CANFINHOME,Finance - Housing,741.05,1.03,2.29,720.18,9867.41,13.1,19.17,15.25,74.2,0.64
H U D C O,HUDCO,Finance - Housing,271,3.16,3.42,85.71,54251.43,26.44,19.17,5.4,45.87,2.4
Home First Finan,HOMEFIRST,Finance - Housing,817.45,1.14,3.43,714.82,7235.75,23.68,19.17,32.2,41.2,0.51
Indiabulls Hous.,IBULHSGFIN,Finance - Housing,167.65,0.83,0.67,203.18,9969.93,8.62,19.17,9.2,43.53,-0.39
LIC Housing Fin.,LICHSGFIN,Finance - Housing,652.6,0.65,1.15,1000.2,35897.15,7.54,19.17,7.55,78.69,0.52
